review,sentiment
"The movie is nice Well pictured, but no originality...<br /><br />this movie is directly copied from ""The Hitch"" where Salman plays like a Date Dr. like Will Smith, and Govinda like some fat jerk, who is desperate to get in love with her boss by the end the movie comes to an old Indian Flimi style, the bride's father doesn't like the bride's lover and gets some other groom, and Govinda the bride's lover comes in the end and saves her from the new groom and a fancy dance and stuff.<br /><br />the comedy was real good, no doubt when the hitch meets Hindi would be more funnier....<br /><br />Ultimately worth a watch but when it comes on TV after few months...",negative
"<br /><br />""Bleak House"" is hands down the finest adaptation of a Charles Dickens Novel ever put on screen. Alway one of My favorite novels,I was exteremely pleased with this Television Mini Series. The late, great Denholm Elliot was perfectly cast as the noble John Jardyce and Diana Rigg was sheer perfection as the doomed Ladty Dedlock. The film captures the essence of Dickens era and is extremely faithful to the book,oly making minor plot cuts that do not effect the story. over all a brilliant,moving and atmosphereic film.",positive
"In a quiet town a couple of girls witness the murder of one of their friends to a strange young boy named Milo, who lives on the other side of town. After the murder, his body is found in a river and his pronounced dead. So sixteen years later a weddings draws the girls back to their childhood town and Claire a school teacher becomes obsessed that Milo hasn't died as she has recurring visions of him and her friends are dying one by one and no one believes her when she claims Milo is apart of it. So now, she sets off to find out the horrifying truth.<br /><br />When I came across this film, I was pretty sceptical about it, especially when it had ""From the creators of Anaconda"" on the front cover, but reading the odd little plot outline on the back of the video case, it sounded alright and rather refreshing for a change. Well, guess what? I thought it was a good idea at the time, but it was a totally different story when it came to watching the film. It just seemed to try to hard to be smart and very psychological based, but that latter element didn't come off that well for me and it was basically a prolonged and mostly unconvincing thriller. Hey, I'll admit it had its moments, but hardly enough to make it neither effectively chilling, or memorable. But, a bravo to the filmmakers, at least the story isn't a rehash of those slasher imitators that followed ""Scream"" and shock horror, there's no self-referential humour evident actually there isn't even a HINT of humour. Although, maybe it was too serious? Especially, since the plot is rather absurd, but that's not its main problem. What a disjointed plot we get, I didn't know about to much that was going on, as it seems to skim a lot stuff in favour for some supposedly shocking and disturbing sequences. No! More like irrelevant scenes and yawn inducing clichés that we see from time to time. Also you can see some influences from some ""good"" 70's horror films, one being ""Don't Look Now"". This when our main character keeps on seeing the figure of her past in a slicker. The other would have to be one of my favourites ""Alice, Sweet Alice"" with the person causing the trouble wearing a yellow slicker and committing grisly deaths. Interesting idea but it comes across quite shallow and too many faults pop up. I liked it more when the scenes dealt with the character's childhood, as the performances and circumstances had something creepy about it, but when it leans into their adulthood its tired and uneventful for most part and the performances weren't awful, but incredibly mundane and hardly involving is a good way of putting it. Most of the dialogue had me groaning in disbelief at how contrived and awkward it was. You'll be yelling ""no duh!"" at the screen, because you just can't believe what you're hearing. The police detective gets the brunt of it! <br /><br />Quality wise - the film isn't bad, actually it's better then your usual straight to video I would say. Very slick stuff. With some inventive and prominent camera angles and a faint score that works reasonably well. Another factor that stood out and was a key to building on the moody atmosphere was the creeping sound effects and that bicycle bell does leave a ringing sensation in your ears. The setting of a quiet elementary school was well done and rest of the action takes place in a house. But, just don't be expecting any real suspense or surprises as the execution of these are non-existent. The deaths aren't pleasant and they're mildly bloody and it's more the aftermath to what happens to these bodies, which tries to disturb you. The villain in this piece, the mean-spirited child Milo Jeeder was mildly unnerving, well that voice and yellow slicker does make an imprint to begin with, but it does seem to lose its effect when we come to the films conclusion. The cheesy tag lines on the video compare him to (move over) Jason, (watch out) Freddy and (this isn't child's play) Chucky, but you got to be kidding me! Right? He's labelled ""The New face of evil"", yeah sure. All he needs is to be taught some manners and problem solved. Overall, the film just left me with a sour taste, as I've could've gone without seeing it. I probably wished I did.<br /><br />Just don't expect too much in this blur of a film. Or, even better just skip it, as you won't be missing out on much, really.",negative
"There's more to offer in the opening of The Odd Couple than in the entirety of most films. Felix Unger (the poor guy's monogram even curses him) checks into a New York hotel. A cleaning lady says ""Good night."" ""Goodbye,"" he answers back. In his room he empties his pockets, then struggles to take off his wedding ring only to put the objects neatly into an envelope, addressed to his wife and beloved children. When the viewer finally puts it together  aha, he's going to off himself  we watch him struggle to open the window  oh no, he's going to jump  The poor guy injures his lower back. This is all you need to know about Felix Unger  his wife has left him, he's a compulsive cleaner and he's a hypochondriac. And all in one scene. This is the particular genius of Neil Simon's comedy  it's about situation and character. There are few obvious physical jokes  no kicks to the groin, no cheap gags  just funny characters in uncomfortable situations. And, of course, he is a master of manipulating the audience's expectations. Coming from the Swingers era, imagine what I thought in the date scene when Felix starts lamenting about the breakup of his marriage to the girls his roommate Oscar has worked so hard to get into his apartment. He's blowing it, right? Think again. The girls love his sensitivity, his ability to cry in front of them. They invite him back to their place since his meatloaf has burned because Oscar wasn't paying enough attention to it. He's in like Flynn, right? Uh, yes, but he doesn't want to go with the girls because he's feeling vulnerable. Great stuff. And it's made even greater with a style that minimizes editing and maximizes the wonderful eight-room apartment set. You've got Jack Lemmon and the slouchy, pouchy Walter Matthau for Chrissakes, why mess it up? The visual style reminded me of Breakfast at Tiffany's, in that great effect is made from a large depth of field and the interplay between the various planes of action. Particularly memorable is the scene in which Felix, fleeing from Oscar, closes a partition only to realize the partition doesn't cover the side where Oscar is coming from. You get a real sense of the layout of the apartment, and thus the proximity in which the two divorcées live. The twist here is that these two are really married  to each other. So the observations about married life that might be ignored in an ordinary romantic comedy are made all the more poignant since they are two guys.",positive
"I had heard about ""gaming"" and ""Dungeons and Dragons"" before, but I had know idea it could be like what I saw in the ""Gamers: Dorkness Rising."" These guys are so funny and fun to watch. Especially the guy who plays the ""bard"" or ""minstrel"" or whatever, he has a gift for physical comedy and timing. There is so much background humor and energy in some of the scenes that make you really think that at least some of it was improvised there on set. The special effects needed to be worked on a bit, but I saw it at a convention last year and thats one of the things they said they were going to redo and make better, so it's probably wicked now!",positive
"""The sweet is never as sweet without the sour."" This quote was essentially the theme for the movie in my opinion. Tom Cruise plays a young man who was handed everything in his life. He takes things for granted and it comes around full swing in this great movie with a superb twist. This film will keep you engaged in the plot and unable to pause it to take a bathroom break.<br /><br />Its a movie that really makes you step back and look at your life and how you live it. You cannot really appreciate the better things in life (the sweet), like love, until you have experienced the bad (the sour). The theme will really get you to ""open your eyes"".<br /><br />Only complaint is that the movie gets very twisted at points and is hard to really understand. I think the end is perfect though. I recommend you watch it and see for yourself.",positive
"I read all these reviews on here about how this is a such a good movie. Jeez, this movie was predictable and pretty boring. The acting was below average most of the time, especially by Mckenna. I haven't seen a more pathetic attempt at making someone ""badass"" in a movie. Oh man, this movie was a letdown. I also read somewhere this might be a cult classic. I know there are followers of the director, but this movie was just a average piece of film.<br /><br />The script was lame, for the most part the acting was lame, this movie was lame.<br /><br />Oh and pray for the guy that used to be in Cheers. He looks really bad. <br /><br />The best actor in this movie was probably the guy in Office Space, and he was only in this movie for about 8 minutes.<br /><br />4/10",negative
"Fairly amusing piece that tries to show how smart Orcas are but in the meanwhile (and quite oblivious to them) makes the audience feel stupid by making the most ridiculous film. Richard Harris plays Quint.. I'm sorry, that's wrong, he plays Captain Nolan, a fisherman who catches sharks for a living, but is lured by the big catch, and tries to catch a killer whale. When the capture of a female killer whale goes awry (don't ask) it's mate (don't ask) goes on a rampage (don't ask) and starts STALKING Captain Nolan (Don't ask). Soon, Captain Nolan realizes that they have something in common (don't ask). Pretty amazing film-making here folks. I got to tell you though, the beginning (with the whale noises and nothing much else) is pretty haunting and the end credits (with the most godawful song) is pretty entertaining.",negative
"Anna Christie (1930)<br /><br />Anna Christie has some terrific parts, and some amazing performances, and yet it should be even better than it is. It has drama. Some of the scenes are really atmospheric, and if the interior shots around the table are a bore, other shots at night and at sea are really pretty exciting. Then there are the nearly historical, lively scenes set in Coney Island (even a brief jittery roller coaster ride), and the episode where two women are behind a netting in separate beds, and visitors to the midway can throw balls to try to tip them over, and the women (scantily dressed) egg the men on is weirdly sexual come-on kind of way. All the while Garbo (at the front of the crowd) watches.<br /><br />Garbo of course is what makes this movie more than just another very good early talkie. She plays all sides of her character. She is coy and skeptical and in some kind of inner anguish. She laughs and cries, withdraws and pushes outward. In some ways it's a forward looking, remarkable movie (directed by Clarence Brown, who has a whole series of significant films from this pre-code sound era).<br /><br />Though based on a successful Eugene O'Neil play, it's the writing that struggles a little as the actors seem to go through the paces at times. Marie Dressler is great in that exaggerated way she almost trademarked. And then there is Greta Garbo, who really does have a natural presence, even if it seems she's overacting, just slightly, at times (but then, so is everyone else). Garbo is of course famous first as a silent actress, and this is her talking film debut. Audiences loved her enough that she made a German language version the following year.",positive
"Ulises is a literature teacher that arrives to a coastal town. There, he will fell in love to Martina, the most beautiful girl in town. They will start a torrid romance which will end in the tragic death of Ulises at the sea. Some years later, Martina has married to Sierra, the richest man in town and lives a quiet happy live surrounded by money. One day, the apparition of Ulises will make her passion to rise up and act without thinking the consequences. The plot is quite absurd and none of the actors plays a decent part. IN addition, three quarters of the film are sexual acts, which, still being well filmed, are quite tiring, as we want to see More development of the story. It is just a bad Bigas Luna's film, with lots of sex, no argument and stupid characters everywhere.",negative
"What this film has is its realism , you really do get the feeling screenwriter James Slater has been doing his homework on the subject of downhill skiing while director Michael Ritchie shoots the movie in a fly on the wall documentary style . However the problem is unless you`re a big fan of the sport there`s not a lot in DOWNHILL RACER to grab your attention .<br /><br />Before anyone asks why I watched it , I did so because it featured the great Gene Hackman in an early role but that`s not really a good enough reason for watching",negative
"Many consider BEAST STABLE to be the last of the ""true"" FEMALE PRISONER films, as it is the last of the series directed by Shunya Ito, and is followed by one other film (GRUDGE SONG) by a different director. I have not seen GRUDGE SONG yet (but soon will...) so I don't know how it stacks up to the previous FP films - but it will be interesting to see. The way BEAST STABLE ended didn't really leave a lot of room for another predecessor - but I guess I'll find out...<br /><br />This entry has Scorpion on the run from the cops, where she hooks up with a street-hooker who ends up pregnant with her retarded brothers child (oh yeah - that's no lie...gotta love these sleazy story lines). Scorpion ends up being kidnapped by an old rival, but (as she is so good at...) ends up escaping and taking revenge on some people that wronged a few of her hooker friends...<br /><br />I agree with some other reviewers, that this one is a little slower at points and more ""serious"" then the previous two entries. The story is somewhat confusing and convoluted at times, but a lot of these 70's era pinky films are - and I still love them. BEAST STABLE is lacking pretty badly in the nudity area which was pretty disappointing - but I thought it strong in other areas - storyline, cinematography, some good sleaze,etc...Definitely worthwhile to fans of this sort of thing, or who have enjoyed the other FEMALE PRISONER films...8/10",positive
